,Average
0,-15.735642076884215
1,-14.266793185392501
2,-14.266793185392501
3,-13.50240225814583
4,-13.414320976567225
5,-12.357326515389275
6,-40.94139254182686
7,-7.630078663222662
8,-8.004285789995755
9,-5.313304927567211
10,-5.313304927567211
11,-5.313304927567211
12,-5.96833907203834
13,-5.774389984754942
14,-5.774389984754942
15,-5.162738508812479
16,-5.631998448185518
17,-5.313304927567211
18,-5.313304927567211
19,-5.313304927567211
20,-5.990618564481267
21,-5.162738508812479
22,-3.7436604666609568
23,-5.162738508812479
24,-3.634238706212181
25,-4.3257141664131
26,-5.313304927567211
27,-5.313304927567211
28,-4.081036127824754
29,-3.743668809121748
30,-3.7436604666609568
31,-3.7436604666609568
32,-3.67849398319094
33,-3.16131558829638
34,-1.6732435210713112
35,-4.3257141664131
36,-0.27258374230358323
37,1.882403923895766
38,-1.6943878712633782
39,-2.277124595367606
40,1.292851598603424
41,1.2656415759948163
42,0.28732751572424164
43,1.2299055133516308
44,1.3755966428640782
45,1.9283726290318257
46,2.067375017627451
47,2.067375017627451
48,0.9159565138892859
49,0.983515709282425
50,2.067375017627451
51,2.067375017627451
52,1.3755966428640782
53,1.2839125079145455
54,2.067375017627451
55,3.7802609918396883
56,2.4884957032450084
57,3.097884135301544
58,2.536532314848214
59,2.536532314848214
60,-80.27641685437946
61,-80.59304298256832
62,2.576043233311386
63,2.576043233311386
64,-80.27641685437946
65,5.1203399802375795
66,4.867543370966393
67,4.867543370966393
68,5.060578685800839
69,5.591255282388885
70,4.973980684580844
71,3.661472110793728
72,4.64943882868143
73,5.181085543320683
74,5.157087446006338
75,4.867543370966393
76,5.060578685800839
77,5.591255282388885
78,3.8188631861124307
79,4.973980684580844
80,4.64943882868143
81,12.497030607352091
82,5.586769967408894
83,4.867543370966393
84,5.060578685800839
85,5.591255282388885
86,5.741439496743336
87,4.973980684580844
88,4.64943882868143
89,9.101859597244756
90,23.92266709047828
91,19.297966308683506
92,15.753533741445304
93,15.64559313976674
94,7.064725767912964
95,29.11639083649731
96,12.44369585763544
97,9.101859597244756
98,17.08613502952109
99,30.480150397201704
100,11.704263830584287
101,76.31045601911902
102,44.36714465149088
103,39.296002793565464
104,46.96626510887355
105,68.59950925878562
106,58.11960933761806
107,37.86295582572545
108,11.704263830584287
109,76.31045601911902
110,87.93849795484464
111,56.22483168800261
112,-1.5306241065331014
113,20.399829289158788
114,34.12523320034994
115,2.461453272628076
116,76.64597105995627
117,67.75791332192239
118,65.5223968892782
119,47.1832768737348
120,41.857486724340504
121,40.25116915267628
122,46.236568872554145
123,44.186275956195274
124,122.13669594252539
125,110.9087353366081
126,107.784097786189
127,114.43075811700335
128,104.84337033442048
129,111.12851092877922
130,97.16967108066525
131,85.5177987634751
132,129.45772357974172
133,12.189612452396583
134,75.03126978446834
135,12.827666473453883
136,107.07940326521118
137,131.62039701702952
138,130.12865014306036
139,86.7927446429409
140,134.52795014591476
141,132.1256344642359
142,132.45713572505483
143,132.804338166187
144,133.96814327825768
145,132.7165348805743
146,130.12865014306036
147,132.31419988956662
148,112.90733216389988
149,132.28365942929472
150,132.45713572505483
151,131.48035114902822
152,134.084401179684
153,132.47794881874
154,130.12865014306036
155,130.49248881533546
156,-75.88006373741761
157,130.90448159827142
158,132.44470789226267
159,132.451275875078
160,125.92288321468018
161,134.41261013652712
162,134.85213114086008
163,134.7571750708397
164,144.06850807561665
165,132.99308074855622
166,174.27261438035913
167,133.56911408784646
168,145.646622989822
169,92.27701182061801
170,142.40214755284444
171,135.40461283330882
172,-1.9723938913467065
173,137.3302628797768
174,129.5890903889695
175,133.56911408784646
176,142.63960505692017
177,142.2114092652324
178,142.08917747153052
179,143.17256676580956
180,141.4899642389966
181,126.8553118142089
182,131.12926985169605
183,133.56911408784646
184,141.10976207253714
185,143.48474824767715
186,141.40152102252483
187,143.17256676580956
188,138.92944120144267
189,145.098776250513
190,155.12606684327534
191,154.27009600639568
192,139.44677876318798
193,150.98924885904643
194,140.557969042885
195,154.83234682684161
196,150.91776995432915
197,153.15468773373263
198,156.10009357451312
199,154.19327116521487
200,153.83020723428677
201,150.206262858518
202,155.08393073885617
203,155.19605040266023
204,153.8411390978003
205,152.85148788093775
206,152.7966489247914
207,154.29285214116757
208,134.74567323972843
209,154.73031810438317
210,156.50224417406776
211,155.82903433410794
212,150.91776995432915
213,153.45305481607969
214,153.72098037788882
215,153.51345476060806
216,134.74567323972843
217,31.268410607407287
218,144.03214613450626
219,155.05845044591712
220,58.913221683591885
221,153.05520205501062
222,130.74120712332393
223,117.53348412001438
224,98.87176560541145
225,62.1556203881341
226,141.37800116387206
227,67.57490682692377
228,152.25536178551016
229,150.27854266855084
230,-44.97750463348054
231,130.6120469115064
232,98.87176560541145
233,80.87907612069897
234,153.66852901784847
235,152.1689630223014
236,152.25536178551016
237,154.20679734526135
238,143.45346090633024
239,104.3381217926431
240,98.78230276110835
241,129.95639354332562
242,154.03672153597597
243,151.63864307294682
244,130.54996635292477
245,154.20679734526135
246,140.59801595094808
247,153.65999640187138
248,134.90758876976906
249,136.10003364472067
250,137.54578515206225
251,149.04552976464961
252,152.87148884136454
253,150.3573238381246
254,151.4222986002971
255,118.42224670844826
256,113.98153107878537
257,136.10003364472067
258,156.11409449981255
259,143.51565574539308
260,152.70244929175465
261,115.15679170284841
262,156.2805419280498
263,150.18963027560721
264,15.172577655354946
265,103.54257398422666
266,139.56959051290676
267,134.92127749191596
268,131.14174956639624
269,115.5502010549354
270,131.42514140743273
271,119.56892836019563
272,157.46953961100738
273,127.41700950601928
274,153.83494937559948
275,128.88776763433583
276,142.79879978253956
277,143.17804553250897
278,133.22080034128174
279,135.01231057057564
280,160.95449303166578
281,150.652980866362
282,99.91768823497304
283,102.5936969874108
284,136.48939944379393
285,142.60000959059434
286,133.22080034128174
287,131.06782416081631
288,113.94301300560582
289,103.70256405471407
290,100.34944409710552
291,136.2182651176298
292,136.35558292462107
293,138.09752032911416
294,142.71401605814424
295,137.6999822453634
296,95.22341362385275
297,103.56340701724329
298,159.47910711043318
299,158.29444051223822
300,156.86495188321177
301,117.15718594925261
302,142.71401605814424
303,128.48647899597188
304,159.37861593111697
305,102.50109143826164
306,159.47910711043318
307,93.76300894354924
308,155.873605176716
309,159.65550807659923
310,133.22080034128174
311,130.82107329035733
312,111.35388203015357
313,98.38105221800195
314,100.34944394063317
315,159.5148222059376
316,135.85667175245814
317,133.62616927789378
318,132.64930629913306
319,102.58278348824456
320,108.42230403683206
321,152.87110799233523
322,155.42442464935428
323,155.4656401098742
324,40.80287633492408
325,29.3015006557544
326,156.9270943382322
327,156.69528033940938
328,152.8249333807387
329,157.80972482382163
330,160.32497347457792
331,122.53954113868556
332,123.937471057106
333,87.11277304266521
334,82.359808573348
335,81.71703229470725
336,-59.29184736207334
337,105.84590827666591
338,112.55859873890124
339,161.1143884517441
340,101.21908530678114
341,158.32339438750563
342,138.8560955999602
343,138.2569018747346
344,137.476846478861
345,158.3969768416859
346,144.76551450884187
347,161.1143884517441
348,160.71894155475053
349,152.5283650829677
350,138.08535519133233
351,138.2569018747346
352,134.6856848655234
353,131.4895429427904
354,135.84765293806086
355,161.6968797640448
356,156.5553405699148
357,165.74604840323514
358,139.82517803399463
359,161.64131400412523
360,136.32999205187667
361,155.41373733510883
362,153.49103382947138
363,160.06007460849213
364,156.5553405699148
365,166.25419087858023
366,122.69662028228113
367,138.25610899771448
368,136.32999205187667
369,158.58986059576603
370,161.1102896402041
371,136.0113048348133
372,100.53135234723617
373,127.91345941381037
374,119.13929814230664
375,153.78046162170338
376,62.81206399600584
377,101.60767688553041
378,170.8161260497205
379,185.86953552333125
380,121.26237381197134
381,-35.17430781808149
382,185.89371429987986
383,168.48882086897135
384,184.8406495463165
385,97.55714505243557
386,184.56645496412256
387,185.01587939499547
388,185.5809394423145
389,160.40453671554496
390,185.27576611389787
391,185.25078961243088
392,184.51382559882717
393,183.5381951287478
394,183.7488052669956
395,184.61993694688388
396,185.85734388303777
397,181.02785586328923
398,186.34170218758214
399,184.83685841714
400,184.20332191848166
401,183.37893043211267
402,183.6115543748844
403,183.63185311082506
404,185.28414761485988
405,181.02785586328923
406,184.81695229542524
407,184.44261286122432
408,186.2798099294585
409,171.5026010747989
410,182.51915196573015
411,166.92022024659008
412,185.9048735437637
413,182.4365979268842
414,166.9995612044563
415,185.0880651075731
416,196.67599233186797
417,175.52308168497825
418,180.52394100510182
419,149.68070235733748
420,202.0922696157715
421,182.2950222217176
422,201.7146595383176
423,198.85788418499152
424,162.03921218022248
425,199.79155967301367
426,174.76667736199857
427,175.80072789357249
428,197.7291941183402
429,182.12585296245445
430,181.19147184822114
431,198.96905180518158
432,195.9888901590587
433,175.15579272835848
434,176.51388379015117
435,196.49341702206357
436,197.45779704899525
437,181.77400725882828
438,182.27443879971958
439,168.7341410835454
440,171.27265383070534
441,96.54012369702752
442,175.8203901212061
443,166.02372210529848
444,154.50676020968257
445,168.0680035816811
446,182.4635898115353
447,172.51142876686677
448,197.85810289535374
449,199.14466857623233
450,173.9045562915537
451,176.16977122799102
452,141.807822534635
453,199.7475771436777
454,184.11427822679107
455,172.6117801813826
456,178.26258777296835
457,186.98617541524365
458,173.8258379211
459,176.08802576337138
460,176.68906435513176
461,179.5408720407339
462,182.30275614497137
463,172.95906457976284
464,172.9354247055433
465,182.50429395206356
466,173.96720405928835
467,176.53382177949163
468,142.7747383034811
469,196.95050778000538
470,168.9987762090994
471,186.71005237693615
472,151.28660994275714
473,160.66441982637156
474,171.88675817312307
475,169.249441590355
476,150.56292808389261
477,165.83056486494615
478,117.89889803330429
479,118.77688883097395
480,164.88088050942022
481,198.566535158499
482,163.6638456940972
483,169.14899556245456
484,175.23937747069513
485,143.10575318518923
486,179.42650969999772
487,156.70575787149244
488,164.88088050942022
489,165.41779032355186
490,35.7376371212002
491,172.86121676463762
492,178.85056408689962
493,167.7962401620013
494,181.36020051529397
495,117.3174738631606
496,127.7863829111777
497,198.3527304937035
498,3.818850142024759
499,195.76552040933205
500,202.0172444989301
501,176.3670433085668
502,175.87503303614767
503,179.76086240579397
504,164.71673101757864
505,185.48050115191649
506,153.1739681655212
507,157.75130412760677
508,175.2603241682807
509,147.88475037397004
510,178.18587463338
511,140.20180895303585
512,141.20926093414874
513,186.86238415504334
514,106.31541110379499
515,185.8879334814385
516,149.76605556884934
517,118.00533503802599
518,168.99685304405062
519,117.12583196205098
520,143.43876910838028
521,197.93721938551028
522,156.04789762402092
523,194.18872048623092
524,174.989366336719
525,180.4804425762651
526,74.64263600640857
527,75.45165623970799
528,140.72611955333056
529,187.86029574503794
530,177.5249760459007
531,133.67846781821123
532,149.47286942222095
533,163.28006735408536
534,131.65197558710165
535,173.88240411066664
536,140.2182482339503
537,187.86029574503794
538,189.63781792414102
539,130.35338943177766
540,149.85312553748037
541,163.37549369074944
542,89.46390325408206
543,155.8172535937628
544,139.79814040493832
545,187.80259299246651
546,177.73755498063406
547,154.07403391726365
548,149.58381076500956
549,163.7360834160556
550,105.70075408901407
551,137.06657317328825
552,139.80159694704747
553,187.32636549615722
554,190.1044337307928
555,141.18377084445365
556,135.25654066941962
557,163.88462208752097
558,108.2217089197806
559,174.70275335744668
560,64.07813901635744
561,199.8457152120057
562,183.07880674366953
563,170.99523474548647
564,162.25456814132775
565,165.01858983034063
566,41.24193050570041
567,88.25777563962413
568,204.84984414153314
569,178.05886774402512
570,189.53782704855468
571,158.31431840602343
572,145.593325639058
573,164.21926896614718
574,179.78798690725552
575,142.48639148174655
576,169.2895992562001
577,185.02344288432693
578,192.91646526906737
579,202.86600073309322
580,166.43198032816252
581,149.15353929370826
582,134.1597663631148
583,149.1634400462214
584,149.48176445615107
585,201.22690484302214
586,152.22010853724936
587,160.6895660662309
588,152.60092764433165
589,162.62475373102706
590,136.07625127559965
591,163.20396240767803
592,189.06646529046614
593,166.15029075376077
594,182.2570685739862
595,133.28156081586465
596,159.09980509919635
597,175.6341074294719
598,135.7974356154619
599,138.19280969923904
600,199.83815761316183
601,162.0310767523431
602,182.6095281851607
603,134.75570919262591
604,73.96568536552454
605,149.58041411923244
606,131.54744304888987
607,138.19280969923904
608,134.57722402839505
609,190.1276337234713
610,182.23479623574957
611,134.75570919262591
612,150.4220642383768
613,179.1850551897758
614,135.5039970852072
615,138.19280969923904
616,139.0063623439583
617,181.3671487394253
618,181.96232333172685
619,134.76228552778676
620,104.51180288005214
621,163.214750019184
622,135.0922588521659
623,138.19280969923904
624,181.8165313205464
625,179.41029289602645
626,164.77978570853753
627,134.75708058529145
628,149.7497177069858
629,165.0061726564457
630,177.3283853715453
631,138.1077812428487
632,164.40846248014338
633,181.78858197682524
634,171.57477266923064
635,124.6103667442832
636,122.74549053228525
637,169.818964078533
638,189.02116277589846
639,200.37974217548847
640,174.38975942614397
641,164.1636162453359
642,186.39484677633976
643,201.95751775081595
644,202.19928608466037
645,182.41863342528785
646,200.40074105416443
647,178.80805897829399
648,152.58636372595305
649,122.3975988505678
650,200.94359727449958
651,201.54744685038543
652,202.19928608466037
653,207.39378799353995
654,199.55812635648755
655,179.89006607657194
656,201.29403491408124
657,190.86220919104727
658,197.73040816911058
659,202.45843408260833
660,190.6878993961786
661,98.98510620706898
662,201.4824879900315
663,177.71030692413848
664,152.58636372595305
665,192.273133120983
666,205.4138536444788
667,201.50972223645925
668,168.40191179884408
669,121.6743244174626
670,179.68432924310497
671,163.1426534654385
672,152.46703845153402
673,147.07403582536946
674,202.43174666336654
675,77.87186103140523
676,202.54266737996937
677,150.60804825578282
678,184.67927628565997
679,181.73897263816667
680,152.46814085150913
681,164.31458345219406
682,182.30800732676536
683,201.74839106065858
684,202.8412468651085
685,168.52568911796243
686,180.56908054671814
687,180.40601118602606
688,172.9027441484483
689,176.21292015758266
690,198.7589965085768
691,201.68846188650178
692,202.80238454630208
693,168.52568911796243
694,205.42221565543264
695,199.6263851536616
696,154.50634693928183
697,164.31458345219406
698,163.03257508375935
699,200.65990778713658
700,203.19680536646246
701,168.73142568169533
702,188.4814318424206
703,202.5079535497678
704,151.7991909025763
705,164.31503016265995
706,179.32491394544417
707,185.0227510230847
708,201.39946135622003
709,168.4614376461378
710,205.86722261655154
711,181.48132917336633
712,138.10436938636138
713,164.27621883648845
714,162.15282428408264
715,189.71140235395598
716,186.79784139079976
717,167.4861033094187
718,180.95364394706357
719,184.02561353184666
720,155.26074537633582
721,163.4752698484543
722,136.15736389643573
723,179.15747845606998
724,202.62198968888197
725,166.82974963735822
726,182.032103053144
727,180.56377380746613
728,174.4066497211379
729,152.8876517472443
730,136.15736389643573
731,135.82896387062124
732,200.00608578761208
733,167.23583354857232
734,182.032103053144
735,186.48949858378506
736,176.76645538334776
737,163.6101385520903
738,136.15736389643573
739,160.77837279834768
740,200.97090232325098
741,167.72333906619588
742,182.01674076805085
743,140.94445769129123
744,176.47142145932452
745,176.7746617860499
746,136.11316001695621
747,167.8777346773448
748,185.31616814691222
749,87.87494729972909
750,182.428924980906
751,159.12523260239453
752,152.60092764433165
753,162.62475373102706
754,136.07625127559965
755,163.20396240767803
756,189.06646529046614
757,166.15029075376077
758,182.2570685739862
759,133.28156081586465
760,138.8827742714949
761,175.6341074294719
762,135.7974356154619
763,138.19280969923904
764,199.83815761316183
765,181.43003153050637
766,182.6095281851607
767,134.75570919262591
768,155.17067342729894
769,176.74437632057294
770,136.45020167108865
771,138.19280969923904
772,182.88048952823016
773,165.26061642550408
774,182.23479623574957
775,134.75570919262591
776,145.41707288369338
777,179.1850551897758
778,135.5039970852072
779,138.19280969923904
780,139.0063623439583
781,148.18884227730328
782,181.96232333172685
783,134.76228552778676
784,104.51180288005214
785,163.214750019184
786,135.0922588521659
787,138.19280969923904
788,164.82199471241967
789,179.41029289602645
790,164.77978570853753
791,134.75708058529145
792,149.7497177069858
793,165.0061726564457
794,136.81395246670203
795,138.1077812428487
796,164.40846248014338
797,181.78858197682524
798,171.57477266923064
799,203.2713336433056
800,159.94396775308388
801,140.90697379957945
802,142.3666084620821
803,200.37974217548847
804,174.38975942614397
805,164.1636162453359
806,186.39484677633976
807,201.95751775081595
808,202.19928608466037
809,173.41971031449563
810,204.10806016469084
811,178.80805897829399
812,163.54203551226766
813,203.77657135849194
814,204.74948959117683
815,201.54744685038543
816,202.19928608466037
817,207.39378799353995
818,199.55812635648755
819,179.89006607657194
820,163.54203551226766
821,204.4641633519231
822,197.73040816911058
823,193.4731920711127
824,202.19928608466037
825,162.35108075069598
826,201.4824879900315
827,188.9648445074021
828,152.58636372595305
829,192.273133120983
830,205.4138536444788
831,207.38036024909312
832,202.21339170852292
833,97.14096129418805
834,194.74038548509108
835,163.1426534654385
836,152.46703845153402
837,183.14134087118416
838,202.43174666336654
839,205.9819516835339
840,191.5724632299644
841,-39.11924132463574
842,204.5389329797045
843,181.73897263816667
844,163.739199965673
845,179.0510827486276
846,186.68320231665922
847,205.28026450099725
848,128.06553758777463
849,127.69634860868526
850,186.39809476621576
851,191.5811508253251
852,162.82579369283755
853,179.0510827486276
854,169.41253703026265
855,205.66471039180487
856,189.94496631520354
857,207.37352207116373
858,158.74753112325112
859,191.8815139972762
860,163.8862906335866
861,179.0510827486276
862,187.27724818645146
863,205.389290107318
864,188.3388576915109
865,207.36432790285068
866,163.13529497491976
867,206.82390729174216
868,164.10770978771794
869,179.06968653079872
870,176.66383619788454
871,207.05544560279273
872,207.070516694594
873,207.32560322044907
874,165.38690050397275
875,205.0836972530247
876,177.66994498054484
877,179.04276236192948
878,148.07713949835778
879,168.888264480139
880,206.96381066569202
881,207.1080249136522
882,161.40792045228133
883,193.6590332037844
884,164.96552940776647
885,179.52487778613425
886,144.29390570838189
887,29.8869789749235
888,133.13118117746527
889,206.36266015194855
890,189.66724417419027
891,153.27822304465772
892,165.38767581418728
893,203.57902710015597
894,144.29390570838189
895,170.08817171134848
896,205.88000185883158
897,208.0777890213304
898,188.86423405476503
899,199.45806423361338
900,166.0408264990479
901,180.15731590481525
902,184.6104964226598
903,187.4892499590372
904,204.1122060120609
905,206.2933326169064
906,187.90774802898397
907,162.3459630841919
908,180.7632511579529
909,179.38781394837844
910,144.3791712034687
911,183.91221524217147
912,206.7446301877698
913,193.79603484139142
914,188.17560378548677
915,185.73805697259812
916,178.1502226320393
917,182.03420927960147
918,144.50955934200357
919,137.23401639021952
920,205.51669664753672
921,207.29438303388656
922,188.23447033828603
923,160.25434136630284
924,168.16667319141283
925,182.49770074200867
926,144.4687154094285
927,133.20672508413375
928,205.84508833124409
929,208.84068250632146
930,177.9321820340359
931,186.84314416701596
932,141.415790995298
933,179.92231756891385
934,145.4790241984461
935,133.20672508413375
936,192.58102517912698
937,208.87239442913773
938,189.43263560063326
939,186.84314416701596
940,155.65554428745773
941,181.09516610487827
942,133.12813921133755
943,133.20672508413375
944,187.1681559274719
945,206.24244969824002
946,189.75173615729693
947,186.87952079754933
948,137.50724329261257
949,168.77131983495116
950,130.89808882257864
951,132.99417511769184
952,161.63566096801952
953,175.4677433923577
954,188.9443368398478
955,186.74726061457116
956,160.01132775824038
957,144.05126814051508
958,143.10237967339825
959,132.7945944082323
960,156.6346209147345
961,162.18515812307072
962,189.4238020821753
963,186.3883267516308
964,159.94396775308388
965,140.90697379957945
966,203.82430079469466
967,151.06186658714415
968,151.75779168517437
969,202.011255328767
970,204.4047128815833
971,191.32272236517855
972,191.75964128793981
973,174.68015830148198
974,204.10806016469084
975,203.3110240272911
976,163.54203551226766
977,203.77657135849194
978,204.74948959117683
979,191.70717039717508
980,191.75964128793981
981,160.4321270570395
982,190.95451729693679
983,188.93203640077996
984,163.54203551226766
985,121.25559241323842
986,188.87350427862015
987,193.4731920711127
988,191.75961524598577
989,162.35108075069598
990,206.750418180498
991,188.9648445074021
992,163.40723236809833
993,205.84945322503654
994,204.49270446206046
995,207.38036024909312
996,191.85819406354142
997,208.09515240008886
998,177.82723196238686
999,202.91698967111301
1000,163.3185739317094
1001,183.14134087118416
1002,204.9360070180544
1003,205.9819516835339
1004,191.5724632299644
1005,182.31785470971403
1006,127.17255248994752
1007,190.3590710893768
1008,163.739199965673
1009,179.0510827486276
1010,186.68320231665922
1011,205.28026450099725
1012,123.16507238775937
1013,207.37352207116373
1014,169.8907594196297
1015,154.99076177514627
1016,187.0958519272976
1017,48.23847871873122
1018,29.18285182090774
1019,162.5278425451657
1020,189.94496631520354
1021,150.26057515556096
1022,158.74753112325112
